location,startTime,crs,sbc,likes,most_recent_instructor,id,day,past_instructors,endTime,sctn,credits,subj,avgGrade,cmp,recent_two_instructors,semesters,courseTitle,classNbr
{B313},5:00 PM,538,NaN,0,?,65e6ce45ee7bd45c98acc77b,TUTH,{},6:20 PM,90,3,CSE,0,LEC,{},?,Natural Language Processing,96969
{B314},12:30 PM,570,NaN,0,?,6436c2a53023723180f7eb9e,TUTH,{},1:50 PM,90,3,CSE,0,LEC,{},?,Wireless and Mobile Networks,54857
"{?, A312, A116}","2:00 PM, 2:00 PM, 2:00 PM",600,NaN,0,?,6436c2687efba14cf3f9004f,"F, F, F",{},"3:20 PM, 3:20 PM, 2:50 PM","S90, S91, 90",0 to 1,CSE,0,LEC,{},?,Topics in Modern Computer Science,"96324, 97249, 56526"
"{-, -, B203, B203}","6:30 PM, 6:30 PM, 6:30 PM, 6:30 PM",644,NaN,0,?,6436c2687efba14cf3f90050,"TU, TU, TU, TU",{},"7:50 PM, 7:50 PM, 7:50 PM, 7:50 PM",S90,1,CSE,0,SEM,{},?,Seminar in Databases,"95501, ?, 92292, 52112"
{B105},6:30 PM,650,NaN,0,?,65e98b7b50d4111ca6f57af5,TU,{},7:50 PM,S90,NaN,CSE,0,SEM,{},?,Seminar in Architecture,56537
"{A313(B607), B314(C607), C607(C607)}","10:30 AM(2:00 PM), 10:30 AM(2:00 PM), 10:30 AM(2:00 PM)",118,TECH,0,?,6436c2a63023723180f7ebba,"TUTH(TUTH), TUTH(TU), TUTH(TH)",{},"11:50 AM(4:50 PM), 11:50 AM(4:50 PM), 11:50 AM(4:50 PM)",90(L90),4,ESE,0,LEC(LAB),{},?,Digital Logic Design,"56225(56226), 96954(96956), 52368(52369)"
"{B105, B206}","9:00 AM, 5:00 PM",122,NaN,0,?,6436c2a63023723180f7ebbc,"MW, TUTH",{},"10:20 AM, 6:20 PM",90,3,ESE,0,LEC,{},?,Discrete Mathematics for Engineers,"56210, 96973"
"{-, -, -, -}","-, -, -, -",499,NaN,0,?,6436c2697efba14cf3f90064,"APPT, APPT, APPT, APPT",{},"-, -, -, -",,0 to 3,ESE,0,TUT,{},?,Research in Electrical Sciences,
"{B105, B103, B207, A704}","5:00 PM, 5:00 PM, 5:00 PM, 2:00 PM",194,QPS,0,?,6436c2697efba14cf3f90068,"MW, MW, MW, MW",{},"6:20 PM, 6:20 PM, 6:20 PM, 3:20 PM",90,3,EST,0,LEC,{},?,Decision-making,"95575, ?, 92343, 52203"
"{B205, B205}","3:30 PM, 3:30 PM",300,SPK; WRTD,0,?,6436c2667efba14cf3f90023,"MW, MW",{},"4:50 PM, 4:50 PM",90,3,CSE,0,LEC,{},?,Technical Communications,"95500, 92291"
{B103},9:00 AM,304,NaN,0,?,65bebb3f29280314d82979a4,TUTH,{},10:20 AM,90,3,CSE,0,LEC,{},?,Compiler Design,96938
{B204},12:30 PM,306,"Partially: ESI, EXP+, SBS+, STEM+",0,?,65e9813c50d4111ca6f57af4,TUTH,{},1:50 PM,90,3,CSE,0,LEC,{},?,Operating System,56521
{B313},3:30 PM,354,NaN,0,?,65e5032dee7bd45c98acc760,TUTH,{},4:50 PM,90,3,CSE,0,LEC,{},?,Natural Language Processing,96966
"{B203, B313, A116, B105}","2:00 PM, 10:30 AM, 2:00 PM, 5:00 PM",416,"Partially: ESI, EXP+, SBS+, STEM+",0,?,6436c2667efba14cf3f9002b,"TUTH, TUTH, TUTH, TUTH",{},"3:20 PM, 11:50 AM, 3:20 PM, 6:20 PM",90,3,CSE,0,LEC,{},?,Software Engineering,"95572, ?, 92341, 52148"
"{-, -, -}","-, -, -",475,EXP+,0,?,6436c2667efba14cf3f9002d,"APPT, APPT, APPT",{},"-, -, -",,3,CSE,0,TUT,{},?,Undergrad Teaching Practicum,
"{-, -, -}","-, -, -",523,NaN,0,?,6436c2677efba14cf3f90042,"APPT, APPT, APPT",{},"-, -, -",,3,CSE,0,TUT,{},?,Advanced Project in Computer Science I,
"{-, -, B204, B204}","6:30 PM, 6:30 PM, 6:30 PM, 6:30 PM",646,NaN,0,?,6436c2687efba14cf3f90051,"TU, TU, TU, TU",{},"7:50 PM, 7:50 PM, 7:50 PM, 7:50 PM",S90,1,CSE,0,SEM,{},?,Seminar in Artificial Intelligence,"95626, 54823, 92368, 52201"
